NIM,KODE,SKS,HARGA,GRUP,NILAI,SEMESTER,TH_AJARAN
31950540,BI4612,2,2,A,C,GENAP,1999/2000
31950540,BI4593,3,4,A,C,GENAP,1999/2000
31950540,MU2102,2,2,A,B,GENAP,1999/2000
31950540,BI2492,2,2,A,C,GENAP,1999/2000
31950540,BI4642,2,2,A,D,GENAP,1999/2000
31950555,BI1092,2,2,A,E,GENAP,1999/2000
31950555,BI1412,2,2,A,C,GENAP,1999/2000
31950555,BI2264,4,5,A,D,GENAP,1999/2000
31950555,BI2304,4,5,A,C,GENAP,1999/2000
31950555,MU2102,2,2,A,A,GENAP,1999/2000
31960594,BI1412,2,2,A,E,GENAP,1999/2000
31960594,MU2102,2,2,A,E,GENAP,1999/2000
31960594,BI2264,4,5,A,E,GENAP,1999/2000
31960594,BI2452,2,2,A,E,GENAP,1999/2000
31960594,BI4593,3,4,A,E,GENAP,1999/2000
31960607,BI1412,2,2,A,C,GENAP,1999/2000
31960607,BI3553,3,3,A,D,GENAP,1999/2000
